683.90, 261.70
683.90, 261.70
683.90, 261.70
683.90, 261.70
683.90, 261.70
683.90, 274.76
688.25, 292.17
696.95, 313.93
705.66, 331.34
710.01, 353.10
714.36, 370.51
718.72, 396.63
718.72, 422.74
723.07, 448.86
723.07, 470.62
723.07, 492.38
718.72, 518.50
718.72, 540.26
718.72, 562.02
718.72, 583.79
723.07, 609.90
727.42, 640.37
727.42, 670.84
727.42, 701.31
727.42, 727.42
727.42, 757.89
727.42, 797.06
727.42, 831.88
727.42, 862.35
723.07, 892.82
723.07, 914.58
718.72, 945.05
718.72, 975.52
718.72, 1005.98
718.72, 1036.45
718.72, 1066.92
714.36, 1097.39
714.36, 1132.21
710.01, 1158.32
705.66, 1184.44
701.31, 1206.20
696.95, 1227.97
692.60, 1258.43
692.60, 1297.61
692.60, 1328.07
692.60, 1354.19
692.60, 1380.30
692.60, 1402.07
692.60, 1423.83
692.60, 1441.24
692.60, 1463.00
692.60, 1480.41
692.60, 1502.18
692.60, 1523.94
692.60, 1541.35
688.25, 1545.70
688.25, 1550.05
688.25, 1550.05
688.25, 1550.05
683.90, 1554.41
679.54, 1563.11
679.54, 1567.46
679.54, 1567.46
679.54, 1567.46
679.54, 1567.46
679.54, 1567.46
679.54, 1567.46
675.19, 1567.46
675.19, 1567.46
675.19, 1567.46
675.19, 1567.46
675.19, 1567.46
675.19, 1567.46
675.19, 1550.05
683.90, 1532.64
683.90, 1523.94
683.90, 1510.88
683.90, 1510.88
683.90, 1510.88
683.90, 1510.88
683.90, 1493.47
683.90, 1493.47
683.90, 1489.12
683.90, 1489.12
679.54, 1480.41
662.49, 1467.36
662.49, 1463.00
662.49, 1449.95
670.84, 1432.54
675.19, 1410.77
675.19, 1397.71
679.54, 1384.66
683.90, 1367.25
683.90, 1354.19
683.90, 1341.13
683.90, 1319.37
679.54, 1297.61
670.84, 1280.20
662.49, 1267.14
662.49, 1249.73
675.19, 1245.38
692.60, 1275.84
696.95, 1297.61
696.95, 1323.72
696.95, 1349.84
696.95, 1367.25
696.95, 1380.30
696.95, 1397.71
692.60, 1402.07
692.60, 1415.13
692.60, 1436.89
692.60, 1463.00
688.25, 1476.06
688.25, 1484.77
683.90, 1502.18
679.54, 1515.23
675.19, 1528.29
675.19, 1537.00
670.84, 1541.35
675.19, 1550.05
683.90, 1550.05
692.60, 1541.35
696.95, 1519.59
696.95, 1506.53
696.95, 1489.12
696.95, 1480.41
692.60, 1467.36
692.60, 1445.59
692.60, 1423.83
701.31, 1393.36
714.36, 1367.25
731.77, 1345.48
757.89, 1328.07
779.65, 1306.31
797.06, 1288.90
818.82, 1267.14
849.29, 1245.38
884.11, 1223.61
918.93, 1201.85
953.75, 1180.09
997.28, 1158.32
1045.16, 1136.56
1093.04, 1114.80
1140.91, 1097.39
1184.44, 1088.68
1245.38, 1084.33
1306.31, 1075.63
1362.89, 1066.92
1415.13, 1066.92
1449.95, 1062.57
1480.41, 1062.57
1502.18, 1062.57
1519.59, 1062.57
1528.29, 1058.22
1537.00, 1058.22
1541.35, 1058.22
1554.41, 1058.22
1567.46, 1058.22
1576.17, 1058.22
1589.23, 1058.22
1593.58, 1058.22
1597.93, 1058.22
1602.29, 1058.22
1610.99, 1058.22
1619.70, 1058.22
1632.75, 1058.22
1645.81, 1058.22
1663.22, 1058.22
1676.28, 1058.22
1684.98, 1053.86
1689.34, 1040.81
1689.34, 1032.10
1689.34, 1023.39
1689.34, 1023.39
1680.63, 1023.39
1676.28, 1023.39
